target,prb_id,dst_addr,result1,result2,result3,,,
targetIP=appldnld.apple.com.edgesuite.net,35237,81.198.165.17,16.762835,17.55189,17.11663,,,
targetIP=appldnld.apple.com.edgesuite.net,35233,95.101.132.49,24.641475,31.90771,30.44485,,,
targetIP=appldnld.apple.com.edgesuite.net,35230,184.150.154.51,15.808125,16.380905,15.69026,,,
targetIP=appldnld.apple.com.edgesuite.net,35547,222.165.168.200,4.557895,3.456155,3.714805,,,
targetIP=appldnld.apple.com.edgesuite.net,35239,88.221.134.58,6.7431,6.52597,6.33341,,,
targetIP=appldnld.apple.com.edgesuite.net,11540,88.221.254.208,17.97733,12.61755,11.855875,,,
targetIP=appldnld.apple.com.edgesuite.net,28991,88.221.218.143,7.57487,6.651795,7.831,,,
targetIP=appldnld.apple.com.edgesuite.net,28999,2.16.186.17,46.66125,46.554325,46.557575,,,
targetIP=appldnld.apple.com.edgesuite.net,10610,23.54.158.9,17.873705,17.462295,17.229875,,,
targetIP=appldnld.apple.com.edgesuite.net,19397,92.123.72.7,32.99528,15.784365,39.968895,,,
targetIP=appldnld.apple.com.edgesuite.net,19396,2.16.103.218,1.9316,1.80024,2.02744,,,
targetIP=appldnld.apple.com.edgesuite.net,19395,23.58.223.138,108.46755,101.921,90.20869,,,
targetIP=appldnld.apple.com.edgesuite.net,19394,92.122.48.33,8.83291,9.172115,8.951,,,
targetIP=appldnld.apple.com.edgesuite.net,19393,194.230.81.139,1.67346,1.529365,1.509865,,,
targetIP=appldnld.apple.com.edgesuite.net,19391,2.21.74.17,14.728095,15.75564,13.3212,,,
targetIP=appldnld.apple.com.edgesuite.net,22260,134.17.0.112,3.803255,3.79161,3.84326,,,
targetIP=appldnld.apple.com.edgesuite.net,32232,23.55.59.32,3.87388,3.771065,3.80983,,,
targetIP=appldnld.apple.com.edgesuite.net,25060,23.34.62.58,61.325895,59.84625,58.628695,,,
targetIP=appldnld.apple.com.edgesuite.net,25067,88.221.134.58,0.748085,0.68463,0.67248,,,
targetIP=appldnld.apple.com.edgesuite.net,25069,23.43.56.208,26.8546,27.651865,24.202755,,,
targetIP=appldnld.apple.com.edgesuite.net,33925,88.221.134.58,6.822865,6.33659,6.830555,,,
targetIP=appldnld.apple.com.edgesuite.net,27376,2.22.8.106,16.608,20.47766,17.019325,,,
targetIP=appldnld.apple.com.edgesuite.net,27379,88.221.134.58,49.707775,49.791565,48.91466,,,
targetIP=appldnld.apple.com.edgesuite.net,27304,82.216.34.26,7.721745,8.09801,8.172725,,,
