target,prb_id,dst_addr,result1,result2,result3,,,
targetIP=officecdn.microsoft.com.edgesuite.net,35237,81.198.165.227,16.964165,17.7904,17.12073,,,
targetIP=officecdn.microsoft.com.edgesuite.net,35232,94.246.183.34,4.912965,6.587235,7.53989,,,
targetIP=officecdn.microsoft.com.edgesuite.net,35233,212.247.14.16,30.562865,38.815265,35.93416,,,
targetIP=officecdn.microsoft.com.edgesuite.net,35230,184.150.154.18,16.77478,16.53353,16.35083,,,
targetIP=officecdn.microsoft.com.edgesuite.net,35547,222.165.168.201,5.08231,3.567255,3.541815,,,
targetIP=officecdn.microsoft.com.edgesuite.net,35239,176.255.234.203,5.766535,4.96409,5.21749,,,
targetIP=officecdn.microsoft.com.edgesuite.net,11540,88.221.144.195,14.98207,12.746215,10.416325,,,
targetIP=officecdn.microsoft.com.edgesuite.net,28991,104.121.76.19,6.82289,5.88939,8.03557,,,
targetIP=officecdn.microsoft.com.edgesuite.net,10610,23.54.158.35,17.37414,17.364215,17.648785,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19397,92.123.72.17,23.12199,27.14337,26.76121,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19396,80.68.78.16,1.842845,1.62425,1.640475,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19395,80.239.247.54,42.931285,43.003505,42.840225,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19394,92.122.48.18,9.021515,8.94521,8.8798,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19393,194.230.42.161,3.941595,4.07611,4.02813,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19391,2.21.74.91,16.023075,13.888745,14.73203,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22260,134.17.0.106,4.036615,3.95208,3.966955,,,
targetIP=officecdn.microsoft.com.edgesuite.net,32232,23.55.58.219,3.831575,3.76375,3.74018,,,
targetIP=officecdn.microsoft.com.edgesuite.net,25060,23.62.227.24,34.153025,41.6666,33.95005,,,
targetIP=officecdn.microsoft.com.edgesuite.net,25067,88.221.134.35,0.74545,0.747085,0.727715,,,
targetIP=officecdn.microsoft.com.edgesuite.net,25069,23.43.56.186,32.23114,30.66154,26.23774,,,
targetIP=officecdn.microsoft.com.edgesuite.net,33925,90.223.233.192,7.1019,7.502275,7.37994,,,
targetIP=officecdn.microsoft.com.edgesuite.net,27376,2.22.144.114,11.82894,9.83527,16.72712,,,
targetIP=officecdn.microsoft.com.edgesuite.net,27379,95.100.252.34,51.00832,49.678915,50.38196,,,
targetIP=officecdn.microsoft.com.edgesuite.net,30708,89.27.242.64,20.129015,22.56813,19.622985,,,
targetIP=officecdn.microsoft.com.edgesuite.net,25283,41.206.102.11,25.359835,25.884,25.30784,,,
targetIP=officecdn.microsoft.com.edgesuite.net,25280,23.211.135.25,34.274565,34.19639,34.24613,,,
targetIP=officecdn.microsoft.com.edgesuite.net,25281,95.100.252.34,9.152945,8.59065,9.316115,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19972,189.247.217.107,12.337205,4.3021,15.77977,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19971,203.152.100.201,0.535755,0.50214,0.458435,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19970,132.147.115.10,1.797025,6.054975,1.746805,,,
targetIP=officecdn.microsoft.com.edgesuite.net,274,2.20.188.35,6.097921,5.995778,6.024962,,,
targetIP=officecdn.microsoft.com.edgesuite.net,16256,95.101.72.80,26.130815,24.04894,25.02691,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19975,62.140.236.168,36.316185,35.96259,36.086615,,,
targetIP=officecdn.microsoft.com.edgesuite.net,277,2.16.186.83,10.131458,10.041602,9.858818,,,
targetIP=officecdn.microsoft.com.edgesuite.net,32019,23.200.86.182,58.46362,56.91157,54.69298,,,
targetIP=officecdn.microsoft.com.edgesuite.net,16706,2.21.74.90,3.092,3.70817,3.0569,,,
targetIP=officecdn.microsoft.com.edgesuite.net,16701,2.21.74.90,0.805955,0.755985,0.73546,,,
targetIP=officecdn.microsoft.com.edgesuite.net,16703,92.123.226.17,26.820445,26.952645,26.72681,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22487,92.122.122.138,9.07153,9.496825,7.69147,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22480,95.100.252.34,16.095665,13.111445,13.298745,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12015,95.101.182.123,8.762685,8.64237,8.67851,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12014,95.100.96.171,58.267475,57.28679,60.33464,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12017,77.120.60.144,10.7983,10.99562,12.42838,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12016,23.219.93.16,37.82214,41.12152,37.365425,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22488,23.65.29.49,4.81607,3.529605,6.0188,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12012,23.62.6.162,None,14.05172,16.12798,,,
targetIP=officecdn.microsoft.com.edgesuite.net,17250,2.16.216.64,35.187485,33.439845,36.01842,,,
targetIP=officecdn.microsoft.com.edgesuite.net,17251,92.122.122.138,13.250975,11.75442,11.87536,,,
targetIP=officecdn.microsoft.com.edgesuite.net,23771,190.46.255.89,11.95337,133.391465,11.21182,,,
targetIP=officecdn.microsoft.com.edgesuite.net,10704,209.170.111.18,19.7021,17.84221,17.32713,,,
targetIP=officecdn.microsoft.com.edgesuite.net,24883,92.123.226.27,1.48159,1.466385,1.30994,,,
targetIP=officecdn.microsoft.com.edgesuite.net,24882,195.141.80.81,5.247355,5.077335,5.121885,,,
targetIP=officecdn.microsoft.com.edgesuite.net,24887,23.62.12.42,1.1909,1.05096,1.062455,,,
targetIP=officecdn.microsoft.com.edgesuite.net,24886,89.27.241.57,11.374925,11.3072,11.27726,,,
targetIP=officecdn.microsoft.com.edgesuite.net,21614,200.61.25.122,11.84346,13.630115,12.502405,,,
targetIP=officecdn.microsoft.com.edgesuite.net,24889,90.223.233.192,18.072605,17.897335,18.174905,,,
targetIP=officecdn.microsoft.com.edgesuite.net,26023,104.93.82.27,2.881145,2.73663,2.72106,,,
targetIP=officecdn.microsoft.com.edgesuite.net,10619,2.21.75.9,6.909275,6.86809,6.842195,,,
targetIP=officecdn.microsoft.com.edgesuite.net,26028,88.221.144.169,11.74954,10.189015,10.367675,,,
targetIP=officecdn.microsoft.com.edgesuite.net,26576,212.98.120.137,4.372815,4.232255,4.170125,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22870,184.25.56.66,10.61467,10.2694,10.691715,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22872,95.100.252.42,1.16768,0.90794,0.979105,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22873,95.100.252.42,13.004795,12.80434,12.476355,,,
targetIP=officecdn.microsoft.com.edgesuite.net,24080,104.103.72.82,9.951275,10.046505,9.733935,,,
targetIP=officecdn.microsoft.com.edgesuite.net,3513,2.22.146.112,14.557442,13.961475,14.515203,,,
targetIP=officecdn.microsoft.com.edgesuite.net,3517,206.40.110.247,1.34016,1.413888,1.390081,,,
targetIP=officecdn.microsoft.com.edgesuite.net,3515,95.101.72.146,8.614658,8.505602,8.504834,,,
targetIP=officecdn.microsoft.com.edgesuite.net,2685,23.49.56.171,14.204163,11.122946,11.132162,,,
targetIP=officecdn.microsoft.com.edgesuite.net,2681,23.192.162.90,11.76269,11.694339,11.303427,,,
targetIP=officecdn.microsoft.com.edgesuite.net,2682,2.21.240.217,5.376001,5.243905,5.061889,,,
targetIP=officecdn.microsoft.com.edgesuite.net,2683,2.22.55.24,15.461379,14.246403,13.964547,,,
targetIP=officecdn.microsoft.com.edgesuite.net,14626,132.147.115.10,3.20249,2.29317,8.579775,,,
targetIP=officecdn.microsoft.com.edgesuite.net,14623,132.147.115.11,353.74811,353.80107,353.67308,,,
targetIP=officecdn.microsoft.com.edgesuite.net,14629,69.31.39.72,11.785325,8.682665,8.429225,,,
targetIP=officecdn.microsoft.com.edgesuite.net,99,2.22.146.104,58.682892,58.244364,58.46862,,,
targetIP=officecdn.microsoft.com.edgesuite.net,93,210.7.43.169,13.407747,13.168131,13.056003,,,
targetIP=officecdn.microsoft.com.edgesuite.net,92,66.198.26.18,135.138843,134.704923,132.738074,,,
targetIP=officecdn.microsoft.com.edgesuite.net,94,72.247.184.66,19.481859,19.883524,19.330564,,,
targetIP=officecdn.microsoft.com.edgesuite.net,97,23.204.103.18,44.059401,95.832595,43.775241,,,
targetIP=officecdn.microsoft.com.edgesuite.net,30410,92.122.48.18,0.70095,0.565695,0.543265,,,
targetIP=officecdn.microsoft.com.edgesuite.net,30413,92.123.155.41,12.995535,12.95095,13.03623,,,
targetIP=officecdn.microsoft.com.edgesuite.net,30412,2.22.144.120,18.085105,17.1821,24.834355,,,
targetIP=officecdn.microsoft.com.edgesuite.net,30414,104.103.72.82,6.369735,4.033465,4.199405,,,
targetIP=officecdn.microsoft.com.edgesuite.net,30419,2.22.144.129,19.67991,18.7329,18.78248,,,
targetIP=officecdn.microsoft.com.edgesuite.net,13050,23.55.58.176,13.44962,13.516985,13.23498,,,
targetIP=officecdn.microsoft.com.edgesuite.net,13056,184.25.56.66,5.56305,4.481175,4.94761,,,
targetIP=officecdn.microsoft.com.edgesuite.net,13055,185.48.240.233,33.788075,33.75928,33.753895,,,
targetIP=officecdn.microsoft.com.edgesuite.net,33507,88.221.235.148,3.03548,3.00628,2.9985,,,
targetIP=officecdn.microsoft.com.edgesuite.net,18700,200.143.247.16,26.53782,26.489875,26.75586,,,
targetIP=officecdn.microsoft.com.edgesuite.net,33854,104.103.72.97,15.02008,14.4864,14.419085,,,
targetIP=officecdn.microsoft.com.edgesuite.net,33503,179.31.48.25,6.37186,5.67399,5.60713,,,
targetIP=officecdn.microsoft.com.edgesuite.net,33856,23.62.157.10,0.91818,0.81134,0.848865,,,
targetIP=officecdn.microsoft.com.edgesuite.net,33508,200.2.124.104,0.43965,0.427585,0.41546,,,
targetIP=officecdn.microsoft.com.edgesuite.net,17826,179.31.48.33,5.39616,4.52681,6.36313,,,
targetIP=officecdn.microsoft.com.edgesuite.net,17825,23.64.15.75,7.41555,7.032425,6.74072,,,
targetIP=officecdn.microsoft.com.edgesuite.net,20252,202.7.177.41,4.876975,4.501385,4.27769,,,
targetIP=officecdn.microsoft.com.edgesuite.net,20253,150.101.195.217,31.45174,44.986345,31.63481,,,
targetIP=officecdn.microsoft.com.edgesuite.net,20250,2.21.78.193,8.94818,8.3882,8.336115,,,
targetIP=officecdn.microsoft.com.edgesuite.net,20257,95.101.72.80,3.50438,3.24206,3.18938,,,
targetIP=officecdn.microsoft.com.edgesuite.net,169,85.30.162.16,1.628928,1.471488,1.362432,,,
targetIP=officecdn.microsoft.com.edgesuite.net,29819,89.27.240.33,12.338985,11.751555,11.60749,,,
targetIP=officecdn.microsoft.com.edgesuite.net,29817,23.49.60.137,56.166175,55.963705,56.0112,,,
targetIP=officecdn.microsoft.com.edgesuite.net,29764,92.122.213.240,35.02844,34.32429,34.32062,,,
targetIP=officecdn.microsoft.com.edgesuite.net,29814,23.58.95.155,52.029595,51.82435,51.99366,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19331,2.17.201.10,5.5172,8.831815,5.07227,,,
targetIP=officecdn.microsoft.com.edgesuite.net,1174,190.248.95.163,8.954114,10.903299,22.298117,,,
targetIP=officecdn.microsoft.com.edgesuite.net,29929,94.246.183.34,8.78197,8.682345,9.150795,,,
targetIP=officecdn.microsoft.com.edgesuite.net,1171,209.170.111.9,1.744128,1.472256,1.622016,,,
targetIP=officecdn.microsoft.com.edgesuite.net,23050,2.20.254.120,1.543215,1.48686,1.39148,,,
targetIP=officecdn.microsoft.com.edgesuite.net,1179,65.222.200.96,17.032708,16.637188,16.634884,,,
targetIP=officecdn.microsoft.com.edgesuite.net,23052,62.252.168.194,16.66063,19.0244,30.05625,,,
targetIP=officecdn.microsoft.com.edgesuite.net,27619,2.21.84.8,15.943925,15.485935,15.344645,,,
targetIP=officecdn.microsoft.com.edgesuite.net,27613,88.221.112.161,17.414365,17.03515,17.3243,,,
targetIP=officecdn.microsoft.com.edgesuite.net,513,193.229.109.18,17.627139,17.511172,17.594884,,,
targetIP=officecdn.microsoft.com.edgesuite.net,27611,62.165.164.144,11.830025,82.495055,11.85552,,,
targetIP=officecdn.microsoft.com.edgesuite.net,29924,88.221.144.203,11.501755,11.6788,11.9527,,,
targetIP=officecdn.microsoft.com.edgesuite.net,31233,23.206.242.57,50.741455,50.284145,50.1416,,,
targetIP=officecdn.microsoft.com.edgesuite.net,877,88.221.112.195,6.686209,6.466562,6.622466,,,
targetIP=officecdn.microsoft.com.edgesuite.net,3433,193.212.178.49,34.836487,67.310606,84.381713,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12832,77.120.60.144,11.001625,13.09797,11.52644,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12830,2.16.63.59,7.203415,7.211145,7.20259,,,
targetIP=officecdn.microsoft.com.edgesuite.net,34558,89.27.241.57,15.12317,14.250495,14.28162,,,
targetIP=officecdn.microsoft.com.edgesuite.net,22955,193.229.109.18,10.56895,10.49974,10.511935,,,
targetIP=officecdn.microsoft.com.edgesuite.net,12834,193.212.178.67,3.62879,3.759295,3.64269,,,
targetIP=officecdn.microsoft.com.edgesuite.net,627,195.215.247.82,6.401281,6.376705,6.406658,,,
targetIP=officecdn.microsoft.com.edgesuite.net,19332,2.22.112.56,1.274295,1.18634,1.352075,,,
targetIP=officecdn.microsoft.com.edgesuite.net,34550,2.21.78.193,19.891215,19.6118,19.598,,,
targetIP=officecdn.microsoft.com.edgesuite.net,26627,85.218.181.145,7.59512,7.26374,7.84548,,,
targetIP=officecdn.microsoft.com.edgesuite.net,2744,217.10.155.167,12.597507,12.617475,12.799491,,,
targetIP=officecdn.microsoft.com.edgesuite.net,10884,23.211.124.43,23.187865,24.611565,19.96568,,,
targetIP=officecdn.microsoft.com.edgesuite.net,10885,88.134.183.74,11.52218,15.800855,10.34294,,,
