target,prb_id,dst_addr,result1,result2,result3,,,
targetIP=a943.x.a.yimg.com,35237,217.212.252.195,33.747635,33.92223,33.9364,,,
targetIP=a943.x.a.yimg.com,35232,217.212.252.195,61.24342,60.301765,58.30651,,,
targetIP=a943.x.a.yimg.com,35233,212.247.20.66,28.54606,29.145835,58.63385,,,
targetIP=a943.x.a.yimg.com,35230,184.150.154.24,15.693965,15.69771,15.92475,,,
targetIP=a943.x.a.yimg.com,35547,104.75.84.19,5.908095,3.47161,3.51993,,,
targetIP=a943.x.a.yimg.com,35239,176.255.202.18,5.8024,5.50887,5.71725,,,
targetIP=a943.x.a.yimg.com,11540,88.221.144.120,18.395425,12.550185,16.57549,,,
targetIP=a943.x.a.yimg.com,28991,104.121.76.67,6.341355,7.49848,7.961005,,,
targetIP=a943.x.a.yimg.com,19927,2.20.242.18,36.17149,33.965365,36.87933,,,
targetIP=a943.x.a.yimg.com,10610,92.122.192.33,17.4997,17.537365,17.577675,,,
targetIP=a943.x.a.yimg.com,19397,92.123.72.89,36.570195,25.44732,22.67807,,,
targetIP=a943.x.a.yimg.com,19396,80.68.78.46,1.860265,1.76435,1.75433,,,
targetIP=a943.x.a.yimg.com,19395,80.239.247.47,42.399115,42.418195,42.337385,,,
targetIP=a943.x.a.yimg.com,19394,92.122.48.42,8.771815,8.545945,8.582165,,,
targetIP=a943.x.a.yimg.com,19393,194.230.81.162,1.631545,1.68149,1.536735,,,
targetIP=a943.x.a.yimg.com,28566,104.93.82.177,5.97981,6.12247,5.805915,,,
targetIP=a943.x.a.yimg.com,22260,88.221.117.18,36.27526,35.66014,35.711975,,,
targetIP=a943.x.a.yimg.com,32232,23.55.58.65,3.80936,3.751935,3.73178,,,
targetIP=a943.x.a.yimg.com,25060,184.25.204.114,10.93668,11.64731,15.932195,,,
targetIP=a943.x.a.yimg.com,25067,2.17.120.162,13.240835,12.764965,12.79254,,,
targetIP=a943.x.a.yimg.com,25069,104.70.178.91,37.847305,26.429875,25.912465,,,
targetIP=a943.x.a.yimg.com,33925,176.255.202.18,6.321535,5.981395,5.935305,,,
targetIP=a943.x.a.yimg.com,27376,88.221.117.18,31.19327,19.644315,13.00174,,,
targetIP=a943.x.a.yimg.com,27379,95.100.252.56,50.04018,49.157285,49.09577,,,
targetIP=a943.x.a.yimg.com,27304,82.216.34.48,8.029815,9.36495,8.06579,,,
targetIP=a943.x.a.yimg.com,33013,185.48.240.242,168.75624,167.892835,165.96287,,,
targetIP=a943.x.a.yimg.com,15958,23.215.101.89,12.80174,11.94804,24.67778,,,
targetIP=a943.x.a.yimg.com,25283,41.206.102.24,25.33874,25.182065,25.229175,,,
targetIP=a943.x.a.yimg.com,25280,104.86.189.75,49.542975,49.497015,49.45419,,,
targetIP=a943.x.a.yimg.com,25281,2.20.242.18,1.696275,2.333145,1.929625,,,
targetIP=a943.x.a.yimg.com,19972,189.247.217.34,18.4392,18.9608,18.72891,,,
targetIP=a943.x.a.yimg.com,19971,203.184.9.25,0.74639,0.648945,0.6316,,,
targetIP=a943.x.a.yimg.com,19970,132.147.115.11,1.81147,1.80118,1.819985,,,
targetIP=a943.x.a.yimg.com,274,2.17.120.154,8.37965,8.462594,8.37965,,,
targetIP=a943.x.a.yimg.com,19976,166.70.146.143,1.742045,1.55505,1.504735,,,
targetIP=a943.x.a.yimg.com,19975,217.212.252.193,55.36871,55.157305,55.337655,,,
targetIP=a943.x.a.yimg.com,19974,203.184.9.25,0.88553,0.781135,0.802925,,,
targetIP=a943.x.a.yimg.com,32019,2.18.245.154,52.50279,52.63871,67.377115,,,
targetIP=a943.x.a.yimg.com,16706,80.239.200.33,3.040885,2.91173,3.74923,,,
targetIP=a943.x.a.yimg.com,16701,2.21.74.98,0.81863,0.72781,0.74453,,,
targetIP=a943.x.a.yimg.com,16703,2.16.117.72,22.07996,21.643615,21.434,,,
targetIP=a943.x.a.yimg.com,22487,88.221.117.40,20.60832,20.48273,20.41836,,,
targetIP=a943.x.a.yimg.com,22480,95.100.252.56,13.37285,13.042595,13.4169,,,
targetIP=a943.x.a.yimg.com,12015,173.223.11.32,7.994205,7.942815,7.96245,,,
targetIP=a943.x.a.yimg.com,12014,23.50.56.96,52.703915,49.46253,53.25171,,,
targetIP=a943.x.a.yimg.com,12017,91.223.19.241,10.168875,9.708555,10.40901,,,
targetIP=a943.x.a.yimg.com,12016,104.70.178.91,36.99362,44.813295,37.117235,,,
targetIP=a943.x.a.yimg.com,22488,23.65.29.58,2.644455,2.76315,2.677705,,,
targetIP=a943.x.a.yimg.com,12012,23.67.251.152,16.765,16.964615,15.87185,,,
targetIP=a943.x.a.yimg.com,17250,84.53.142.98,31.931715,33.582905,31.49631,,,
targetIP=a943.x.a.yimg.com,10704,23.72.224.119,17.894645,17.657675,17.45396,,,
targetIP=a943.x.a.yimg.com,24883,173.223.11.50,1.46263,3.451715,1.534365,,,
targetIP=a943.x.a.yimg.com,24882,194.230.81.177,4.890195,4.924475,4.860595,,,
targetIP=a943.x.a.yimg.com,24887,23.52.171.90,40.62336,40.6472,40.557145,,,
targetIP=a943.x.a.yimg.com,24886,89.27.241.18,11.409525,11.38695,11.344345,,,
targetIP=a943.x.a.yimg.com,21614,23.204.102.19,11.323545,12.358315,10.630755,,,
targetIP=a943.x.a.yimg.com,24889,90.223.216.169,21.096515,20.71051,20.8106,,,
targetIP=a943.x.a.yimg.com,26023,2.20.242.11,25.68387,25.926435,25.56719,,,
targetIP=a943.x.a.yimg.com,10619,95.100.156.48,12.966385,12.938495,12.90782,,,
targetIP=a943.x.a.yimg.com,26028,88.221.144.130,11.030755,11.650765,10.94319,,,
targetIP=a943.x.a.yimg.com,26576,2.20.242.11,31.53775,31.4877,31.44803,,,
