target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=81.198.165.34,35237,17.430005,17.13521,17.025005,17.76762,16.735315,,,,,
targetIP=94.246.183.25,35232,38.08343,42.894525,42.66943,41.44497,45.743595,,,,,
targetIP=92.123.155.32,35233,39.86043,22.637235,26.840685,23.39426,24.88369,,,,,
targetIP=184.150.154.43,35230,16.52525,16.05328,15.46847,15.69967,15.50471,,,,,
targetIP=222.165.168.200,35547,5.585145,3.74033,3.855915,3.51048,3.7546,,,,,
targetIP=90.223.233.202,35239,7.40482,7.071265,6.69194,7.112265,7.169635,,,,,
targetIP=88.221.254.208,11540,14.490725,14.90007,12.606315,16.293925,12.01491,,,,,
targetIP=92.122.49.66,28991,32.99943,32.6277,31.89455,35.66403,33.06107,,,,,
targetIP=88.221.254.27,19927,7.40806,11.87913,13.13568,10.30854,12.268995,,,,,
targetIP=92.123.72.7,19397,18.46075,18.28942,27.307495,31.791935,15.75232,,,,,
targetIP=2.23.167.48,19396,21.40756,20.574995,20.72594,20.69988,20.69641,,,,,
targetIP=23.58.223.130,19395,86.891205,86.700025,86.806405,86.74223,86.782015,,,,,
targetIP=92.122.48.33,19394,9.20055,8.991245,9.051865,9.08206,9.052765,,,,,
targetIP=23.10.249.176,19393,1.294785,1.325135,1.264055,1.298615,1.390625,,,,,
targetIP=2.21.74.17,19391,14.2893,15.200175,16.13052,13.38415,14.104725,,,,,
targetIP=134.17.0.112,22260,3.990015,3.866705,3.783085,3.83815,3.793625,,,,,
targetIP=23.32.46.27,16072,27.21619,26.387755,25.93691,26.08158,26.95981,,,,,
targetIP=184.25.204.123,25060,11.139265,13.84652,18.901605,12.479345,12.7287,,,,,
targetIP=2.22.146.35,25067,1.06658,0.57966,0.808005,0.57943,0.57645,,,,,
targetIP=23.74.28.10,25069,20.66314,20.60421,28.80596,17.55597,18.615165,,,,,
targetIP=2.22.8.34,27376,21.240735,19.993155,18.82181,17.14432,22.67536,,,,,
targetIP=88.221.134.58,27379,49.696415,49.175815,48.886695,47.941865,49.161755,,,,,
