target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=81.198.165.233,35237,17.355445,16.93401,16.99834,17.076725,17.06008,,,,,
targetIP=94.246.183.34,35232,41.204045,40.7849,39.2136,48.020375,42.158495,,,,,
targetIP=212.247.14.16,35233,30.83663,29.812375,22.30513,21.56787,20.623525,,,,,
targetIP=184.150.154.27,35230,16.39979,16.419435,16.19309,16.437755,16.216315,,,,,
targetIP=222.165.168.201,35547,4.642215,3.75265,3.824945,3.484455,3.421145,,,,,
targetIP=176.255.234.209,35239,5.354905,5.515495,5.734265,4.90688,5.231695,,,,,
targetIP=2.22.144.128,11540,18.87426,18.08981,18.04795,20.10401,16.60483,,,,,
targetIP=104.121.76.19,28991,32.961615,39.97522,33.06207,37.55776,29.839745,,,,,
targetIP=92.123.72.17,19397,26.02221,25.29521,24.5816,23.645795,17.68658,,,,,
targetIP=80.68.78.16,19396,1.812355,1.711515,1.672315,1.75173,1.768675,,,,,
targetIP=193.45.15.104,19395,57.283845,57.07802,57.22078,57.10639,57.202035,,,,,
targetIP=92.122.48.18,19394,9.49925,9.375995,9.33361,9.31263,9.271405,,,,,
targetIP=194.230.81.187,19393,1.602895,1.49501,1.558805,1.540905,1.594855,,,,,
targetIP=2.21.74.91,19391,18.375955,15.861815,13.456555,14.779555,15.071815,,,,,
targetIP=194.158.214.163,22260,5.008175,4.85088,4.86644,4.851505,4.84933,,,,,
targetIP=23.204.103.82,16072,12.90591,13.81023,12.59233,13.360535,13.57764,,,,,
targetIP=23.215.102.200,25060,35.791205,35.69876,34.848355,35.01351,46.78033,,,,,
targetIP=2.18.65.98,25067,2.3125,2.25387,2.252275,2.2582,2.291915,,,,,
targetIP=2.16.216.73,27376,17.240085,17.51209,16.07276,17.57362,15.495535,,,,,
targetIP=89.27.242.74,30708,21.183925,19.65813,19.74446,19.97075,19.740935,,,,,
targetIP=41.206.102.11,25283,25.524955,25.35687,25.426675,25.395995,25.403315,,,,,
targetIP=182.19.89.105,25280,41.860245,41.85514,41.42818,41.72251,41.627925,,,,,
targetIP=2.20.242.17,25281,2.67014,1.699245,1.577875,2.024775,1.555475,,,,,
targetIP=203.184.9.19,19971,1.0866,0.7442,0.786805,0.79454,0.73706,,,,,
targetIP=132.147.115.10,19970,1.823265,1.75928,1.87304,1.71029,1.72486,,,,,
targetIP=87.245.215.8,274,13.958403,13.708803,14.337027,14.304771,14.468355,,,,,
targetIP=95.101.72.146,16256,25.785355,25.704535,24.566665,25.68017,24.79128,,,,,
targetIP=62.140.236.168,19975,36.05294,35.939935,35.766575,35.83977,35.65155,,,,,
targetIP=2.16.186.90,277,11.298818,9.501698,10.152194,9.95405,9.97709,,,,,
targetIP=88.221.112.163,32019,43.00992,46.60801,45.671165,45.00061,44.500585,,,,,
targetIP=104.83.5.18,16706,9.23121,9.130955,9.16685,9.12591,9.132375,,,,,
targetIP=2.21.74.91,16701,0.768435,0.724875,0.72919,0.801085,0.744375,,,,,
targetIP=95.101.182.162,16703,21.145455,21.64931,20.73932,21.23966,21.697045,,,,,
targetIP=92.122.122.138,22487,9.637195,9.446425,9.40398,9.44801,9.437175,,,,,
targetIP=95.100.252.34,22480,45.02303,63.13328,31.50323,54.40653,30.478655,,,,,
targetIP=2.20.242.25,12015,0.63513,0.61024,0.62347,0.58199,0.561295,,,,,
targetIP=77.120.60.211,12017,10.06755,9.66237,10.70386,10.234715,9.13865,,,,,
targetIP=104.70.178.57,12016,43.745435,36.19495,37.237675,37.329875,36.137765,,,,,
targetIP=23.65.29.49,22488,2.24879,2.160835,2.223035,2.519,2.486065,,,,,
targetIP=184.26.44.97,12012,16.58397,16.299765,16.25869,15.617865,16.309775,,,,,
targetIP=2.17.123.168,17250,35.278695,35.35217,35.31676,34.067945,34.887995,,,,,
targetIP=96.17.196.104,24811,22.727875,22.72373,22.67098,22.660565,22.69865,,,,,
targetIP=88.221.112.211,24883,1.5376,1.32091,1.26817,1.30606,1.254975,,,,,
targetIP=194.230.81.137,24882,4.89278,4.813775,4.79292,4.83146,4.82258,,,,,
targetIP=210.57.59.27,24887,136.881385,132.149445,132.187575,132.13495,132.15341,,,,,
targetIP=89.27.241.19,24886,11.389055,11.32249,11.324605,11.362845,11.34433,,,,,
targetIP=200.61.25.121,21614,10.88044,11.23774,11.044475,10.917215,10.941935,,,,,
targetIP=90.223.233.209,24889,18.166195,17.52813,17.897775,17.936765,17.659455,,,,,
targetIP=95.100.96.186,26023,3.195905,2.99407,3.078335,2.972185,2.89964,,,,,
targetIP=88.221.254.16,26028,10.834915,10.343115,9.96951,10.49226,9.84607,,,,,
targetIP=88.221.254.32,10890,7.69601,6.57356,7.722365,6.6829,7.566925,,,,,
targetIP=96.17.109.80,22870,10.627775,12.05929,12.578315,11.122395,10.01806,,,,,
targetIP=95.100.252.42,22872,1.052805,0.96862,1.017945,1.021465,1.030775,,,,,
targetIP=95.100.252.42,22873,12.68135,12.543745,12.91503,12.29948,12.7216,,,,,
targetIP=92.122.213.194,24081,1.66573,1.60254,1.600415,1.56497,1.569685,,,,,
targetIP=104.103.72.97,24080,11.26721,10.49974,10.899695,10.926065,11.17364,,,,,
targetIP=2.18.65.98,3513,15.401476,15.621124,15.275524,15.414532,15.283971,,,,,
targetIP=206.40.110.247,3517,16.852228,1.341697,1.373185,1.358592,1.372416,,,,,
targetIP=95.101.72.146,3515,24.394757,8.485634,8.489474,8.48717,8.490242,,,,,
targetIP=184.84.244.74,2685,13.496834,12.354819,9.318914,9.30893,9.194498,,,,,
targetIP=2.18.65.98,2681,12.886275,12.938499,12.712706,12.582146,12.58445,,,,,
targetIP=92.123.155.49,2682,5.426689,5.36525,5.423618,5.418242,5.37677,,,,,
targetIP=2.22.55.82,2683,21.914884,15.69946,23.175173,15.546627,14.400771,,,,,
targetIP=124.155.223.120,14626,3.120425,2.74424,2.904465,2.97398,3.408245,,,,,
targetIP=104.99.238.115,14623,184.55804,184.65456,184.32009,187.781955,184.0897,,,,,
targetIP=209.133.80.33,14629,40.334735,40.14495,40.198635,40.17843,40.13948,,,,,
targetIP=88.221.134.35,99,58.325004,58.287373,58.278156,58.492429,58.260492,,,,,
targetIP=210.7.43.138,93,18.030339,1.393152,1.403136,1.35936,1.31328,,,,,
targetIP=95.100.96.184,92,3.303937,3.234049,3.197953,3.224833,3.293953,,,,,
targetIP=95.100.96.184,94,6.404354,6.024961,5.652481,5.741569,6.118657,,,,,
targetIP=23.197.50.48,97,26.199557,25.775622,25.668102,25.51527,24.880133,,,,,
targetIP=92.122.48.33,30410,0.641035,0.54579,0.55978,0.52328,0.51615,,,,,
targetIP=92.123.155.41,30413,13.027275,12.96524,12.971365,12.981795,12.97729,,,,,
targetIP=2.22.144.129,30412,16.96106,19.358795,20.402435,18.29879,19.23774,,,,,
targetIP=104.103.72.82,30414,3.988955,3.69416,3.730745,3.632095,3.682225,,,,,
targetIP=2.22.144.114,30419,19.219295,18.25905,16.491,17.14957,16.64907,,,,,
targetIP=92.123.143.234,13050,13.801145,13.71292,13.84794,13.901935,13.946485,,,,,
targetIP=23.215.102.232,13056,7.791255,7.69214,9.772155,7.466205,9.346785,,,,,
targetIP=185.48.240.218,13055,34.153915,34.056845,34.07592,34.075075,34.062535,,,,,
targetIP=92.122.213.194,33507,9.98983,10.224905,9.957365,9.954705,9.92609,,,,,
targetIP=104.103.72.97,33854,14.61498,14.777045,14.36387,14.96589,14.75308,,,,,
targetIP=77.222.148.72,33855,0.515825,0.50623,0.48953,0.48557,0.476915,,,,,
targetIP=23.55.38.147,33856,15.697785,15.6005,15.730785,15.50968,15.526175,,,,,
targetIP=200.2.124.104,33508,0.580975,0.39785,0.38899,0.40085,0.384815,,,,,
targetIP=179.31.48.25,17826,5.24603,5.051925,6.48115,5.375345,6.35755,,,,,
targetIP=23.64.15.75,17825,8.30178,7.54449,6.80595,7.078675,7.21247,,,,,
targetIP=23.204.103.57,17822,33.5851,32.46219,30.46066,30.85031,,,,,,
targetIP=203.213.33.218,20252,4.461645,4.209785,4.141905,4.15647,4.444525,,,,,
targetIP=150.101.143.17,20253,47.07469,47.69431,47.26567,47.0256,47.13649,,,,,
targetIP=2.21.78.210,20250,9.028025,8.674615,8.46108,8.430275,8.39494,,,,,
targetIP=95.101.72.80,20257,4.208015,3.48281,3.486025,3.224335,3.51043,,,,,
targetIP=85.30.162.16,169,17.664003,1.046016,1.049088,1.044481,1.045249,,,,,
targetIP=23.49.60.34,29817,85.57081,85.785955,86.65925,85.372855,86.358595,,,,,
targetIP=92.122.213.194,29764,29.65044,28.829455,29.244145,28.86072,28.91167,,,,,
targetIP=23.58.95.147,29814,25.951185,26.257595,26.32953,26.098505,26.13097,,,,,
targetIP=190.248.95.185,1174,15.552003,8.514818,8.62541,8.355074,8.38733,,,,,
targetIP=92.123.72.33,23058,8.70119,7.00465,7.55275,6.26252,6.35183,,,,,
targetIP=67.129.144.27,1171,7.960322,1.807104,1.099009,1.135873,1.294849,,,,,
targetIP=188.43.76.56,23050,1.974745,1.93774,1.97618,1.931645,1.92484,,,,,
targetIP=96.6.113.51,1179,17.058052,15.64954,15.641092,16.986628,15.6841,,,,,
targetIP=62.252.168.202,23052,20.187895,16.54681,18.610815,19.80532,16.313865,,,,,
targetIP=2.21.84.35,27619,14.282175,14.482735,15.272855,14.30891,14.707035,,,,,
targetIP=95.101.182.155,27613,17.708545,17.5894,17.69774,17.9473,17.922795,,,,,
targetIP=2.16.186.90,29389,15.62861,15.79913,13.567295,14.184415,14.84705,,,,,
targetIP=62.165.164.144,27611,11.637375,12.43483,11.54118,52.404065,391.78629,,,,,
targetIP=88.221.254.18,29924,12.201945,10.431605,11.48187,10.576375,11.493495,,,,,
targetIP=184.84.165.129,31233,48.892425,48.50763,48.302435,48.5375,49.04944,,,,,
targetIP=110.164.17.90,10712,1.49808,1.32739,1.38767,1.3466,1.346645,,,,,
targetIP=88.221.144.195,31235,7.177745,7.975465,7.98705,6.78126,6.41389,,,,,
targetIP=193.212.178.73,3433,36.345607,28.736263,37.221896,26.656517,38.357,,,,,
targetIP=77.120.60.184,12832,11.77722,12.54473,11.268115,10.963535,12.85219,,,,,
targetIP=23.65.29.49,12830,7.023805,6.9905,6.9514,6.95308,7.03694,,,,,
targetIP=89.27.241.57,34558,14.57754,14.302175,14.167855,14.088825,14.08765,,,,,
targetIP=217.10.155.168,4521,7.537154,1.73568,1.675776,1.78176,1.733376,,,,,
targetIP=193.212.178.67,12834,1.336245,1.317145,1.433645,1.339885,1.433445,,,,,
targetIP=195.215.247.27,627,7.184642,6.333697,9.590018,6.289922,6.34829,,,,,
targetIP=2.21.78.210,34550,9.39458,8.86965,8.751415,8.54512,8.89965,,,,,
