target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=217.212.252.193,35237,33.17261,32.90214,33.452825,32.96616,33.08428,,,,,
targetIP=217.212.252.193,35232,69.01238,62.68714,61.97044,64.121685,63.33027,,,,,
targetIP=212.247.20.81,35233,37.137225,38.60985,38.76211,45.72718,35.65083,,,,,
targetIP=184.150.154.24,35230,15.973135,15.884085,16.44755,15.95014,16.24045,,,,,
targetIP=104.75.84.19,35547,5.0375,3.53263,3.651615,3.64924,3.515175,,,,,
targetIP=176.255.202.32,35239,6.04832,6.034465,5.687755,5.45106,5.691375,,,,,
targetIP=88.221.144.130,11540,15.35336,11.408825,14.75736,12.82824,13.434855,,,,,
targetIP=88.221.117.40,11541,43.958915,43.073885,45.539445,43.226625,45.61672,,,,,
targetIP=104.121.76.67,28991,6.39863,6.24692,5.90862,7.1963,7.028225,,,,,
targetIP=23.54.158.25,10610,17.554485,17.576425,17.6989,17.195505,17.2976,,,,,
targetIP=92.123.72.89,19397,29.416075,19.32298,18.785165,22.56906,16.605295,,,,,
targetIP=80.68.78.41,19396,4.244875,1.80375,1.733935,1.787705,1.81875,,,,,
targetIP=80.239.247.47,19395,42.97031,42.65447,42.68599,42.71308,42.618195,,,,,
targetIP=92.122.48.48,19394,7.58356,7.66533,7.440515,7.49827,7.476725,,,,,
targetIP=77.109.137.185,19393,5.739975,2.83197,2.86062,3.122745,2.836585,,,,,
targetIP=2.21.74.99,19391,14.66248,15.538575,13.042035,14.16187,14.499695,,,,,
targetIP=217.212.252.193,22260,55.95147,55.80737,56.7547,55.8144,55.81275,,,,,
targetIP=23.204.103.50,16072,12.79751,12.465955,13.515595,12.618565,13.954145,,,,,
targetIP=184.25.204.114,25060,15.85645,13.071565,12.197505,10.79304,15.17638,,,,,
targetIP=88.221.117.18,25067,10.844835,12.26244,10.83331,10.790025,10.81359,,,,,
targetIP=107.14.40.217,25069,34.047545,32.146935,29.77206,29.9423,29.796295,,,,,
targetIP=88.221.117.40,27376,11.620565,11.533445,14.323755,15.926405,9.88567,,,,,
targetIP=95.100.252.34,27379,50.54606,48.72334,49.640855,48.427505,48.15187,,,,,
targetIP=80.236.32.144,27304,7.68846,8.192485,6.78781,7.300765,6.80247,,,,,
targetIP=92.226.1.171,30708,45.110795,49.60737,48.74695,47.720045,46.85156,,,,,
targetIP=41.206.102.9,25283,25.3419,25.27601,25.2325,25.20664,25.2354,,,,,
targetIP=184.25.109.122,25280,65.86668,65.78438,66.70539,65.894105,66.49966,,,,,
targetIP=95.100.252.56,25281,10.02248,10.969315,10.55593,10.221905,9.788115,,,,,
targetIP=187.190.54.186,19972,30.09513,33.79899,35.087145,30.694675,31.86952,,,,,
targetIP=203.184.9.25,19971,1.08421,0.672495,0.627445,0.675855,0.62152,,,,,
targetIP=124.155.223.8,19970,2.71238,2.553535,2.667875,2.615825,2.6857,,,,,
targetIP=88.221.117.40,274,11.793411,11.588354,11.568386,12.557571,11.529986,,,,,
targetIP=2.20.242.18,16256,22.11865,22.760465,20.920345,22.820915,22.231385,,,,,
targetIP=217.212.252.195,19975,62.01354,61.698925,61.65506,61.878565,62.009845,,,,,
targetIP=2.16.186.48,277,10.46477,10.142978,9.920258,10.033922,9.986306,,,,,
targetIP=2.21.74.99,16706,2.998175,3.01953,2.936975,3.020185,3.00623,,,,,
targetIP=2.21.74.98,16701,0.78683,0.75123,0.74235,0.720295,0.7399,,,,,
targetIP=2.16.117.72,16703,21.624845,21.468585,20.847435,21.61373,21.03204,,,,,
targetIP=92.122.53.9,22487,12.928545,12.81119,12.738105,12.768315,12.804965,,,,,
targetIP=95.100.252.56,22480,13.22902,13.05398,13.28767,13.093755,13.07106,,,,,
targetIP=173.223.106.8,12015,21.29838,21.16413,21.15232,21.17251,21.293135,,,,,
targetIP=104.93.82.177,12014,59.072835,58.220565,58.639165,59.245785,60.696985,,,,,
targetIP=195.176.255.74,13855,1.109365,0.61587,0.581115,0.58319,0.57352,,,,,
targetIP=104.70.178.91,12016,36.072555,36.377235,38.67547,36.802985,36.612825,,,,,
targetIP=23.67.251.152,12012,15.171825,19.511835,20.312715,20.551645,20.26282,,,,,
targetIP=88.221.117.18,17250,35.32365,35.486085,35.77539,36.84126,34.6436,,,,,
targetIP=72.246.56.59,10704,14.92292,14.65093,14.74305,14.720805,14.706425,,,,,
targetIP=173.223.11.50,24883,1.45252,1.380865,1.42591,1.37724,1.3726,,,,,
targetIP=2.20.242.18,24882,12.127045,11.817345,11.7527,11.78163,11.802895,,,,,
targetIP=23.49.60.65,24887,217.929125,217.700885,217.82736,217.730645,217.75203,,,,,
targetIP=89.27.241.18,24886,11.29883,11.30584,11.29878,11.28697,11.24848,,,,,
targetIP=190.98.177.136,21614,57.01356,57.259,57.21705,56.53582,57.085875,,,,,
targetIP=176.255.202.18,24889,16.97196,16.530085,16.693175,16.96827,16.654115,,,,,
targetIP=2.20.242.11,26023,24.348035,24.10903,24.22168,24.087885,24.12642,,,,,
targetIP=88.221.254.200,26028,10.38182,9.951385,9.819195,9.881505,10.077075,,,,,
